Ratings,Review_body,Date,Review_head
1.0 out of 5 stars,"Day 1:  Headphones came, sounds great, google assistant works greatDay 10:  Battery backup reduces even after without noise cancellation activatedDay 12:  The bass sounds distorted (but I build the tolerance)Day 15:  Headphones misbehaving, Automatically turns on and gets connected to the nearest paired deviceDay 16:  Headphones stops chargingDon't know what to do next",The manufacturer commented on the review below,Please dont buy if you face these circumstances
5.0 out of 5 stars,"I was quite skeptical before buying this considering the price and Noise cancelation quality. Guess what, it turned out to be a great decision putting money in this buy.
JBL 650BT Live is an excellent active Noise cancellation headset. It delivers an optimum sound quality. Plus you get inbuilt Google assistant and Alexa to do your chores. It can read out notifications, call or message someone, set a reminder and many more, all you've to say ok Google or Alexa. I've been using it for 3months, here is my review. I've been using spotify to listen songs and results are amazing.

Pros:
Good active noise cancellation.
Great sound quality.
Easy to wear.
Buttons are responsive. No lag.
Clear sound during calls.
Fast bluetooth connectivity.
Can pair two devices at once. Laptop and phone.
Comfortable earcups - surrounds your ear.
Quick charge time. 2hrs for full charge.
Great battery back up. Close to 20hrs with noise cancellation on.
No discomfort on long usage.
Good carry pouch included.
Adjustable size option.
Dual connectivity, bluetooth and aux cable.
Even without noise cancellation on, sounds decent.

Cons:
Ears become a bit sweaty on long usage.
Bit heavier than usual headset.
With noise cancellation on, have to increase volume level on noisy areas, say at 70% volume.
When there is no song playing, you'll hear a little of surrounding noise, but that's ok.not discomforting.
Button sizes are small, takes time to adjust.
To change songs via headset, you've to hold volume up button for 3 secs, that's annoying sometimes.
Bass level is moderate. But that's ok. High bass seekers may not like it.

Overall, it's an excellent buy.
Cheers.",Reviewed in India on 7 October 2019,Great buy. Amazing Budget active Noise Cancelling Headphones
5.0 out of 5 stars,"Firstly i hv many headphones and earphones like ath m50x ,one more triple drivers,anker soundcore liberty air,some boat ones and sony ones too ,but in sb m se jbl or ath m50x or triple drivers are excellent!
Ath m50x are more balanced headphones,but that doesn't mean that jbl sounds bad! ,Jbl are almost equally good trust me ,well balanced with little bass( not overpowering) ,highs,mids and lows everything is just incredibly exceptional in this price point with active noise cancellation feature! ,M enjoying jbl's sound more than anything i hv!
I even hv many jbl models but all having bass heavy sound signature!
These are very balanced with required perfect bass!
ANC is good! Not like sony and bose ,but in this price range these are steal ,these are better than plantronics backbeat pro 2 in terms of ANC and sound quality is way way better than those!",Reviewed in India on 20 June 2019,Exceptional at this price point! Blindly go for it!
4.0 out of 5 stars,"Do not expect really high noise cancellation from this product. This works just fine when you need a wireless headset around your ear which can cut the noise.The cups has got nice padding but a bit on a heavier side. So wearing it day long might be painful.Gets connects to android device effortlessly, no complaint.Noise cancellation works; not that effective but definitely works by reducing noise around. Perfectly works at office space where anyways I do not expect people shouting. Benefit is you are really aware of your surroundings when you are enjoying music; be it when you are travelling or when you are in the middle of office space.",Reviewed in India on 30 July 2019,"Budget OENC headset, overall good product at this price point!"
5.0 out of 5 stars,"Simply the best in this price.
The bass is good, and the sound quality is pretty good.
The noise cancellation is amazing. You will actually feel the difference while the noise cancellation is on.
The battery backup could’ve been better, but still it gives 15-20hrs with noise cancellation on. Otherwise 30hrs.
The build quality is at par with any headphones in this category.
The only drawbag I found was the quality of calling. The sound is somewhat low.
But otherwise, absolutely worth it 👌🏻",Reviewed in India on 3 July 2019,Great product.
5.0 out of 5 stars,"This was my first experience of using a noise cancelling headphone so I don't have a set benchmark by Sony or Bose but the experience is good. The product oozes with premium feeling and the moment you hold it, you get a feeling of good build quality. Also thanks to Amazon for delivering the product so quickly despite the current situation.

So now, I have been using them for 3-4 days and here are my thoughts:-
The build quality at first feels that it's a little stiff but now it has become very comfortable
The instrument separation and bass is very good. The surround sound experience in them is a treat.
The noise cancelling is really good. Can't hear anything but music when it's on.

Really happy with it overall",Reviewed in India on 22 May 2020,TRULY MARVELLOUS
2.0 out of 5 stars,"I Got these headphones on 4th of July 2020 as soon as i got them i plugged them in for charging waiting to have these on my head, surprisingly the audio Quality is more than what i expected, thumping base but equal preference to Mids and Lows, Active Noise cancellation is great, did not expect the kind of noise cancelation for this price, fairly comfortable on ears, no complaints so far.... but then i Noticed you tube videos skip automatically without any intervention, i tried skipping the video back to what i was watching by the back button on the headphones but to my awe it wasnt working, the videos, this is so frustrating and the good solid bummer is the volume rocker doesnt work either ah schmuck.....i completely ignored this... i was really dosappointed as basic functionality doesnt work, looks like a complete failure of quality control, its highly disappointing that an amazing sounding pair of cans missed out on this basic check, i have a one glaring advise to JBL... please get your quality control going, a humble request...",Reviewed in India on 4 July 2020,Sound quality is great for the price but functions do not work
4.0 out of 5 stars,"Very comfortable to wear despite having a bit of weight in the product.
Wore it for 3-4 hours straight and it only felt a little strenuous by the end.

Sound quality is typical JBL and the bass does pretty decently.
Jazz sounds just amazing with the active noise cancelling.

Don’t expect the best active noise cancellation but does take off the ambient miscellaneous noises.

Don’t expect you wont be hearing traffic on a busy road but will simmer down the chatter from a filled metro compartment.",Reviewed in India on 6 October 2019,Great price for active noise cancellation. Worth the cost.
3.0 out of 5 stars,"Arrived yesterday, the packing was flawless and jaw dropping awesome. Headphones and all accessories looked premium and the build seems solid and well crafted.The noise cancellation was worked like a charm. Takes out most disturbing stuff out.The bad was sound quality. Played Pitbull's Hey Baby at full volume, and could clearly hear the bass cracking and making a crackling noise. Made the volume to half to adjust it. But still wasn't impressed by the treble and bass experience.Being a bass heavy headphones, it didn't work as per my expectations. Scheduled a return today after asking a few reviews from friends.",Reviewed in India on 3 October 2019,"Good looks, great noise cancellation, not good enough sound."
3.0 out of 5 stars,"Noise cancellation: something-is-better-than-none category good
Sound quality: awesome at mid volume. Cracks when high.
Calls: you can't hear yourself when on calls. You will either talk low or yell
Connectivity: connects in split second
Comfort: memory foam fits nice after 10 odd hours of use. A bit slippery after that though. Gets warm. Ear hurts (but mine are bigger than normal)
App: useless
Battery level: no way of knowing!",Reviewed in India on 31 May 2020,Average BT headphones. ANC is a plus.
5.0 out of 5 stars,"A good headphones with a great battery life and fast charging

Best thing: Can be connected to 2 devices

Good things: Quite comfortable (but still need to remove it in sometime, especially in hot weather)

Worst thing: Bass is a little on lower side. But it works for most people (at-least for me) as audio quality in general is quite good.

Note: The noise cancellation is quite normal, but really good for the price point.

Addition features I wanted: ambient aware and talk-through.

For headphones around 10k range, this is the best option I feel.",Reviewed in India on 17 July 2020,Best at this price point
3.0 out of 5 stars,"Ordered this one for my sister. Took 4-5 days to deliver. The headphones paired easily and worked fine for a couple days. After that, the touch pad and buttons stopped responding altogether. Returned and ordered a replacement.

The replacement seems to be a returned product, since inside the box, the packaging was not the same as the first one. Nevertheless, decided to keep this one to avoid the hassle of returning the product again; my sister was in desperate need for over ear headphones.

The noise cancellation is seems OK, though ambient sounds do creep in. The sound quality is good and making phone calls is a good experience too. However, with the noise cancellation on, sometimes the audio quality fluctuates after using for an hour or so. Not sure how to describe the change though :(.

Overall, don't think I would recommend these to anybody.",Reviewed in India on 17 September 2019,Decent headphones with some reliability issues
4.0 out of 5 stars,"Well i wanted to try out a decent headphone. I wanted to purchase bose, just because it is too comfortable. But price was huge factor.
This one from JBL is the best they have made so far. After using for more then 3 months here is what I feel about my new headphone
Pros:
1. Comfort: This headphone is comfortable and can be easily put on for hours. Comfort was something I wanted badly in a headphone.
2. Sound: I am not a hardcore headphone user. I found the sound good enough for a normal users.
3. Battery: One of the 5 star feature. Battery gets charged superfast. And it last for longer duration. Never measured in hours because i don't have to.
4: wireless/connectivity: Very easily connected to device. I have never used a wire with the headphone because the bluetooth mode is smooth and keeps away from wires.
Cons:
1. NC: No music and NC on, you can hear what people are saying, it doesn't cancel that. With music on 80-90 percentage of noise cancellation, someone shouting right infornt of you, i bet you can hear that. Increase a bit of volume, it becomes the true NC headphone. Overall I will call it a decent effort given the price range in the NC category.
2. Case: Hard case would have been better. We get a cloth bag which is good too.

In a category of NC headphone with good sound, great comfort and mid price range, i will say it is a very good buy.
If you are looking for a fully NC headphone then there go for Bose or Sony(high range models)
I hope this will be useful to anyone planning to purchase a decent headphone.",Reviewed in India on 18 October 2019,Good value for money
5.0 out of 5 stars,"After wearing for 10-15mins only you start to feel pain in your outer ear. Cushions are good but it will press on your ear.

On and off button not sure what’s was the reason behind slide, you need to practice a lot initially for more than 3sec

Noise cancellation button is bit loose, and sometimes when you use it will start to on and off automatically

Sound quality good, not as great as you hear from sony, sennheiser as I used both but wired one.

Good battery life I get a day in full charge.",Reviewed in India on 22 August 2020,Nice product
1.0 out of 5 stars,"Although headphone connects for music, the buttons and Google assistant do not work.

Tried it with (OnePlus or Samsung). Definitely a problem with the connectivity. Not sure if others faced this issue. Have requested for return now.

On a side note, for the 10 minutes that I tried it, the sound quality is excellent. Noise cancellation really did not make much of a difference. Buttons not working was the turn off for me.",The manufacturer commented on the review below,Bluetooth connected for audio to play. But control buttons are not working.
2.0 out of 5 stars,"Ear starts paining after 5 minutes of use.. too heavy.. sound quality is also not upto the mark.. on high volume ,sound starts distorting..noise cancelling can not be distinguished than when it is off..not recommended.. better go for sony or beats by dr dre.",Reviewed in India on 21 July 2019,Not recommended
2.0 out of 5 stars,"First impressions when I opened the Box, saw the seal was open. But it looked superb. Could easily catch anyone's eyes while you wear them, great build deisgn.

Pro's :
1. Great built quality and design. Don't worry at all on breaking, it won't.
2. Noise cancellation was surprisingly good, didn't expect at all for it to perform but it does a fair job. Don't expect bose or Sony level ANC 😜.
3. Decent battery life and charge timing.
4. This headphones has its own game in Sound profile, I liked it.
5. Call quality was good enough, was able to hear adequate sound while talking.
Con's:
1. Trying to connect bluetooth every time with my mobile or Ipad is so much pain. It atleast easily takes 3 to 4 tries to get it successfully connected. And forget about connecting 2 devices at a time and switch it, I got tried connecting it to one device.
2. Buttons on the headset won't work at most of time, and especially when you need it.
3. Google assistant was just a joke in it, touch pad was good but sometime it picks up my commands rarely.
4. I felt the camp pressure was bit more, I couldn't use it for 1hr on continous usage.
Conclusion:
Even though it states big features, I don't think it was able to deliver it. I can't compramise on basic features that makes me use the headphone daily like buttons, connectivity and comfort. On other side looks make it look so permium but I felt they are hugely let down.

Get it if you use it for a casual occasion and want it to be stylish but other wise hard to recommend without it being fully functional.",Reviewed in India on 5 March 2020,Doesn't deliver what it states!
1.0 out of 5 stars,I had high expectation on jbl. But everything is gone now. This headphones is not worth for 10k. I bought this in offer and immediately returned it next day. Sound quality is bad. Bass is even more bad. And noise cancellation is pathetic. The headphones worth 1k will work better than this. If you are music lover and badly looking for headphones. Please dont buy this.,The manufacturer commented on the review below,Not worth for the price
1.0 out of 5 stars,"Please don't buy this headphone. After 1year the volume buttons, play/pause button, Google assistant touch surface control are not working. There is no provision to repair or replace as it is out of the warranty.

Sound Quality : I will say average for the price. If you are a bass lover you will be disappointed. Bass is there but it misses the punches.

If you are using the provided Aux cable, sound quality as well as max loudness drastically decrease.

Noise Cancelation : Isolation due to the cuff is good, though active noise cancellation is average, but I will say that is ok at this price.

Battery Life : Battery life is good",The manufacturer commented on the review below,Stopped Working after 1year
5.0 out of 5 stars,"The sound quality is great. Noise cancelling works to an extent, but don't expect Bose level noise cancellation here.

I got a faulty piece. The headphone works with the aux cable and also with Bluetooth to an extent. But the Bluetooth volume and play/pause buttons do not seem to work, which defeats the entire purpose of having Bluetooth in the first place., and hence can't receive calls on the headphone, and cant control volume/next/previous tracks on the connected device. Have asked for a replacement. Will update after I get the same.

Update: The headphone was replaced with a proper working item. No complaints so far. Sound quality is good. Not too much bass, comparatively balanced sound. Sound quality improves with noise cancelling enabled. And it sounds even better via the cable (with NC on).",Reviewed in India on 19 July 2020,Good headphones
3.0 out of 5 stars,"An average product with an average performance. If you are comparing with Bose Noise cancellation headphones there is no match. They are pretty heavy . Though the comfort and noise cancelling are satusfactory but still no match for Bose. To conclude, if u r a music lover, spend some extra bucks and get bose or if u want for normal use and dont wana spend heavy, they are good pair of headphones.",Reviewed in India on 10 October 2019,Average product for average prize...
3.0 out of 5 stars,"My frst time to buy a headphone. I heard that jbl speakers are damn good so I thought headphones are superb too but to me, the sound quality is just like my earphone from HTC smartphone. Nothing special. Noise cancelation? It works but not that much. However, the seller is commendable for being prompt and reliable through it's delivery.",Reviewed in India on 27 July 2019,Product is nice but did not meet my expectations
4.0 out of 5 stars,"Really awesome sound and noise cancelling is also good. Music with bass is very clear and awesome. I tried listening to 3d and 8d sounds with the headphones and the results are very good. Don't worry about bass effect at all..

Ear cup could have been little wider as you have to adjust. It may not be a problem for all though. Feels like air is sucked in the ear. But it's better once you adjust as per your comfort. It's not big drawback.

Finish is very good as well. Charges very soon.

One needs to remove from the ear once in half hour or hour if you are continuously on head phones so you don't feel any itch due to the heat.

Definitely worth buying compared to models in Sony and Bose with high prices.",Reviewed in India on 19 June 2020,Great product to buy !!!
5.0 out of 5 stars,"Really worth a Money spent
ANC Active noise cancellation very good
JBL proves it’s sound Quality
Was having quite a confusion
Compared between all over -ear headphones within my budget of 10k
Finally concluded with JBL, b.cause it has comfort ear cushions and noise frequency distribution is even all over ear
Over all it’s good",Reviewed in India on 19 August 2020,Satisfied buy n product
