Ratings,Review_body,Date,Review_head
4.0 out of 5 stars,"Update sept 26

Got the replacement set and they sound do much better than the first ones I recieved. This kind of issues is unheard of from a product that costs 30k not gonna lie. Seriosuly? A defective pair of headphones ? Unexpected sony !

Update- sept-25

So I was using these like.usual when I started hearing a shrill noise from the right side earcup! Tried it with multiple devices , persistsnt shrill noise with noise cancelion and no music( my room's fan was off ) . Replacing for a new pair . Will update

I'm not a ""audiophile"" but I've tested and heard many headphones/earphones in search of the ""perfect"" pair of cans for me. Perfect is a subjective term and will vary from person to person.

I bought these becasue of all the hype with the xm3's and as a customer the ""next"" version would obviously be better right ?

So, come delivery day. I ooened these, set them up, updated the firmware and started listening . These sound , ok. For something that costs 30k, these sound average at best. The noice cancelling is good but I need to test it more , possibly on an airplane ( whenever that happens )

When something is this expensive you automatically have some expectations from it right ? It has to perform at the 30k level ( I hope the reader is getting what I'm trying to say) .

The software features are great , the build feels premium, the connection is strong.

P.S if you intend to use the multipoint function you will loose audio quality . LDAC uses two lanes ( max for bluetooth 5.0) and when you use multipoint it switches to SBC ( 1 lane ) so expect quality loss. Windows doesn't support LDAC so you will loose significant quality when connected to a pc.

I'll update the review after the burn in period . I won't be returning these since these are just too damn comfortable but doesn't justify the 30k price tag it demands for the sound quality I'm getting as of 20 sept.",Reviewed in India on 20 September 2020,"As someone else in this review section said "" conditionally recommend"""
4.0 out of 5 stars,"After a very slow delivery by Amazon, it came in a secure package. Looks bulky but premium. Just press power button for 7 sec to see connect it to a new device.

Sound: Excellent, bass heavy.
Built quality: Looks study so far. Very comfortable on ears even with spectacles. I have been using it for 2 hrs straight and I can hardly feel anything on my head or ears.
ANC: Although there is a stark difference when you hear things with active noise cancellation but still it is not perfect. I bought it because my study room is close to kitchen but alas I still hear utensils.

Will update this review with time.

Update 1: I have to admit sounds really great. Since it is base heavy, even at 50% volume, you get a theatre experience (no kidding).

Update 2: ANC is not that great. Sitting in my room I can hear people talking next to me (cannot make what they are saying) while it does kills all the noises of fan.",Reviewed in India on 28 September 2020,Not that great for the price
5.0 out of 5 stars,"This is a great piece of headphone.

Reason for purchase :- I'm a bass lover and owning Sony MDR XB-950 (Extra Bass) headphone, but needed a noice cancellation headhone with equivalent kind of audio quality. I tried Bose QC-35 (almost the same price) but i didn't like audio output there, bass was too much suppressed but noise cancellation was good. So Bose QC-35 didn't felt like worth the price. I checked for somthing from Sony and found this new model WH-1000XM4, looks for some reviews in youtube and went for it. Below is my observation on this headphone.

Sound Quality :- Excellent using via IPhone 10 plus on apps amazon music, gaana although youtube video sound quality was not good.

Noise Cancellation :- Feels like no one is around. Lots of interior work/construction going on my building but after wearing this woooo, all goes off. Will try this when my wife will start talking could be a life saviour :p

Comfort and build :- comfort is good wearing this for straight 4 hour , no pain or anything.

Sony app is good and this headphone comes with lots of feature and available with just a touch.
If you're in the market to spent some amount and want to buy a masterpiece, go for it.",Reviewed in India on 24 September 2020,When you need to listen and when don't need to !!
5.0 out of 5 stars,"So much is already said about these headphones, I am only going to vouch for the praise they're getting. Great noise cancelation, superb audio quality, reliable battery life and study build. They have a good lineage advantage too. My only complaints are that, they tend to make you sweat along the ear cups, slight issues with the microphone quality on calls made outdoors, no official water resistance specifications and although they support gestures for audio control, lack of physical buttons or rotary dials make them unreliable in certain conditions like snow.

But, those are just nitpicking. Must have for ANC. They definitely give Bose run for their money.

P. S. To connect with multiple devices use the Sony Headphones App, go to settings and enable support for two simultaneous devices.",Reviewed in India on 27 September 2020,Best of two worlds
5.0 out of 5 stars,"Sony....you made my day❤️ What a masterpiece Sony made guys...❤️ Everything was soo perfect...design, comfort, stylish looks & beautiful colour❤️ & the most importantly the SOUND!!!! I am speechless guys like what I say the sound was amazingly mind blowing...😍 & noise cancellation was also superb & all the features soo perfect as I say ❤️ But Sony u take away my heart😅& I must say music lovers you have to purchase this masterpiece 😍 & yes amazon was also given me that kind of satisfaction in the packaging soo cool & safe as always 😇 Thank you soo much... 🎶",Reviewed in India on 20 September 2020,SONY made a MASTERPIECE ❤️❤️
2.0 out of 5 stars,"Edit ( 26/9/2020 ) a sharp buzzing sound which is irritating on the left side from 5 directly down to 2 stars. Very disappointed sony people are paying 30k why is there such an issue ?The best headphones money can purchase nothing left to pick other than getting used to the touch pad , everything is freakishly smooth and amazing , amazing sound quality and the noise cancellation is so helpful its cuts out the noise of the fan and helps me concentrate on my studies as I keep my lectures at 1.5x.",Reviewed in India on 22 September 2020,Best headphone money can buy. Edit - dont it has some buzzing problem
3.0 out of 5 stars,"*Only buy this for noise cancellation and multi point connection*

The Audio quality is below average.
But the built quality and comfort is next level. And with all these features it's better than any other wireless headphones. But audio quality doesn't justify this price. While calling it drops to low quality on sbc codec which is worst. But the microphone is better in this. I will be using this only while Traveling and in office. If you need a good audio setup get a Open Back headphone and a DAC.

Again, recommend only for those who need noise cancellation.",Reviewed in India on 25 September 2020,Had high expectations but got disappointed.
4.0 out of 5 stars,"Delivers very high on the Noise Cancellation.
But if you also intend to use this for making Skype / Zoom calls, then i would ask you to skip this product.
The microphone picks up all background noise and people speaking in the background also. The one listening to you is going to get a lot of disturbance. I did not see any way to tweak the mic configurations via the app.
I dont know if this is a a Firmware issue and would be fixed in the updated versions or a HW limitation.

Verdict: If you are not going to use the Mic for any meetings etc then i would suggest to grab this product. But not if you are going to use it for meetings.",Reviewed in India on 22 September 2020,Excellent ANC but poor Mic Quality
5.0 out of 5 stars,"I bought the much hyped 1000xm4 after a lot of online research. My expectations were much high. But when i tried them for the first time i was pretty disappointed. I was at the verge of returning them. But i started to like them in same day after a couple of songs. Gradually i realized the issue was with the songs i heard, which was of 128kbps bit rate. Then i tried these on with some hd songs. It was just amazing. Now i love these cans.Noise cancelation is solid. Bass is tight with nice timbre but the low bass is not that great for my likening. Everything else is as great as it can get.My advice: never judge its sound quality with low resolution songs from youtube and all. Try atleast 320kbps songs.",Reviewed in India on 25 September 2020,Technology at its best
3.0 out of 5 stars,"Pros :
1- Great noise cancellation
2 - Great music
3 - customization option on app too good
4 - looks cool and comfortable to use
5 - super build quality

cons :
1 - not recommended for office calls on zoom/teams on laptop. poor mic quality
2 - system glitch, bluetooth disconnects every 10-15 minutes in middle of meeting. tried all youtube tutorials to fix the issue but no improvement

since i purchased for office meetings, my main intent was not met and hence returned the headphones within 2 days of usage",Reviewed in India on 26 September 2020,"Good for leisure music and travel, bad for office meetings and phone calls"
1.0 out of 5 stars,"I bought these noise cancellation headphones after  knowing they where best in industry for anc. They are good for low frequencies but not at all good for high freq noises. Sound quality is so and so. Overally wouldn't recommend, theyre grossly overpriced for what they offer.After 4-5 hours of usage it starts to make crackling noise left headphone, this is a design issue with anc and I have replaced them and they still make noise in now in right headphone.One does not expect such issues in such an expensive headphone.",Reviewed in India on 27 September 2020,Noise cancellation is better than others but still sucks and makes cracking noise.
4.0 out of 5 stars,"To be honest, i don't know if i got a faulty product or does it really work like that but my touch pad either hangs or becomes buggy once i activate speak to chat by tapping and holding the press with two fingers on the touch pad. It really feels bad to see your device malfunctioning when u have spent 30,000. I am curious to know if its fault in my product or its generally that way ??? Btw, sound quality, 360 audio and noise cancellation are good to make them a worthwhile possession!!",Reviewed in India on 24 September 2020,Sony wh 1000xm4
5.0 out of 5 stars,Give 5* rating to Sony for this premium product. Meets all my expectations. Wonderful feature. Awesome music quality.  All day wearable without any problem. It's just awesome. Noise cancelling feature is superb.,Reviewed in India on 24 September 2020,Beautiful product from Sony
5.0 out of 5 stars,top class noise cancelling with good extra features which come in handy when you need it,Reviewed in India on 26 September 2020,just the best out there right now
3.0 out of 5 stars,Not except too much of noise cancellation u can hear fan sound and tv sound and some traffic sounds also but the sound quality is excellent,Reviewed in India on 21 September 2020,Too much of expectations of noise cancellation
5.0 out of 5 stars,"The XM4 dethroned the Noise Cancellation king XM3, and they do not disappoint!",Reviewed in India on 20 September 2020,Best headphone 2020
